epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,5211.65,0.94615,0.58358,0.86056,0.92235,0.92946,0.93435,0.64378,1.0597,0.65114,0.8947,0.00066855,0.00066855,0.00066855
123,5249.48,0.92159,0.57646,0.85989,0.92591,0.9291,0.93221,0.64596,1.05005,0.64764,0.89491,0.000660299,0.000660299,0.000660299
124,5293.05,0.92812,0.58525,0.86241,0.92039,0.92941,0.9258,0.63663,1.03899,0.66148,0.89214,0.000652047,0.000652047,0.000652047
125,5344.39,0.92884,0.56718,0.85989,0.92307,0.92746,0.92342,0.64206,1.04799,0.65845,0.89352,0.000643795,0.000643795,0.000643795
126,5395.52,0.93359,0.57106,0.86126,0.92965,0.93068,0.92838,0.63839,1.03724,0.64799,0.89085,0.000635544,0.000635544,0.000635544
127,5439.26,0.9248,0.56356,0.85958,0.92634,0.93257,0.92973,0.64255,1.04918,0.64766,0.89458,0.000627292,0.000627292,0.000627292
128,5494.88,0.92087,0.56592,0.8583,0.93244,0.94062,0.92789,0.63819,1.04501,0.65228,0.89185,0.00061904,0.00061904,0.00061904
129,5532.73,0.93266,0.56418,0.85756,0.93033,0.93476,0.92715,0.63469,1.05223,0.66222,0.89469,0.000610789,0.000610789,0.000610789
130,5577.3,0.93449,0.57506,0.86452,0.93402,0.92974,0.92878,0.63202,1.05498,0.66827,0.89458,0.000602537,0.000602537,0.000602537
131,5622.04,0.91586,0.56382,0.8598,0.9234,0.93493,0.91926,0.62657,1.05353,0.67214,0.89479,0.000594286,0.000594286,0.000594286
132,5665.6,0.90648,0.56035,0.85903,0.92385,0.92624,0.9161,0.62585,1.05554,0.6692,0.89725,0.000586034,0.000586034,0.000586034
133,5705.11,0.92616,0.57569,0.85513,0.92224,0.92008,0.9237,0.63646,1.05662,0.66597,0.89826,0.000577782,0.000577782,0.000577782
134,5749.73,0.91384,0.55341,0.86192,0.92579,0.93315,0.92065,0.63447,1.04556,0.66127,0.89601,0.000569531,0.000569531,0.000569531
135,5798.04,0.90598,0.54402,0.855,0.92027,0.9334,0.92259,0.63292,1.05123,0.66582,0.89634,0.000561279,0.000561279,0.000561279
136,5842.33,0.92458,0.5606,0.85823,0.92349,0.93086,0.91929,0.62353,1.05536,0.66651,0.89706,0.000553027,0.000553027,0.000553027
137,5887.56,0.89573,0.56878,0.85777,0.92244,0.92548,0.92141,0.62816,1.05247,0.66832,0.89809,0.000544776,0.000544776,0.000544776
